Year,Movie,Poster_URL,Genre,TMDb_Rating,TMDb_Vote_Count,Popularity_Score,Release_Date,Runtime_Minutes,Box_Office_USD,Director,Primary_Studio_or_Platform,Overview
1992,Home Alone 2: Lost in New York,https://image.tmdb.org/t/p/w500/uuitWHpJwxD1wruFl2nZHIb4UGN.jpg,"Comedy, Family, Adventure",6.794,10895,26.4236,1992-11-15,120,358994850,Chris Columbus,"20th Century Fox, Hughes Entertainment","Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve."
1988,Die Hard,https://image.tmdb.org/t/p/w500/7Bjd8kfmDSOzpmhySpEhkUyK2oH.jpg,"Action, Thriller",7.8,12633,24.717,1988-07-15,132,140767956,John McTiernan,"Gordon Company, Silver Pictures, 20th Century Fox","High above the city of L.A. a team of terrorists has seized a building, taken hostages, and declared war. One man has manages to escape... An off-duty cop hiding somewhere inside. He's alone, tired... and the only chance anyone has got."
1993,The Nightmare Before Christmas,https://image.tmdb.org/t/p/w500/oQffRNjK8e19rF7xVYEN8ew0j7b.jpg,"Fantasy, Animation, Family",7.835,10575,25.4927,1993-10-09,76,75634409,Henry Selick,"Touchstone Pictures, Skellington Productions","Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans."
1999,Eyes Wide Shut,https://image.tmdb.org/t/p/w500/knEIz1eNGl5MQDbrEAVWA7iRqF9.jpg,"Drama, Thriller, Mystery",7.485,7302,25.0876,1999-07-16,159,162517900,Stanley Kubrick,"Warner Bros. Pictures, Stanley Kubrick Productions, Pole Star","After Dr. Bill Harford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head."
1992,Batman Returns,https://image.tmdb.org/t/p/w500/jKBjeXM7iBBV9UkUcOXx3m7FSHY.jpg,"Action, Fantasy",6.951,7277,19.8644,1992-06-19,126,280000000,Tim Burton,"Warner Bros. Pictures, Polygram Pictures","The monstrous Penguin, who dwells in the sewers beneath Gotham, joins up with corrupt mayoral candidate Max Shreck to topple the Batman once and for all. But when Shreck's timid assistant Selina Kyle finds out, and Shreck tries to kill her, she's transformed into the sexy Catwoman. She teams up with the Penguin and Shreck to destroy Batman, but sparks fly unexpectedly when she confronts the caped crusader."
2024,Terrifier 3,https://image.tmdb.org/t/p/w500/ju10W5gl3PPK3b7TjEmVOZap51I.jpg,Horror,6.758,2039,20.0141,2024-10-09,125,90322103,Damien Leone,"Dark Age Cinema, Fuzz on the Lens Productions, The Coven","Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe."
2019,Little Women,https://image.tmdb.org/t/p/w500/yn5ihODtZ7ofn8pDYfxCmxh8AXI.jpg,"Drama, Romance",7.842,7004,20.2171,2019-12-25,135,332103783,Greta Gerwig,"Columbia Pictures, Regency Enterprises, Pascal Pictures",Four sisters come of age in America in the aftermath of the Civil War.
1990,Edward Scissorhands,https://image.tmdb.org/t/p/w500/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg,"Fantasy, Drama, Romance",7.72,14033,18.0838,1990-12-07,105,86024005,Tim Burton,20th Century Fox,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.
1987,Lethal Weapon,https://image.tmdb.org/t/p/w500/6gt44oqb4nE8vflPElffeGwsHVl.jpg,"Action, Thriller, Crime",7.305,5209,19.0548,1987-03-06,110,120207127,Richard Donner,"Silver Pictures, Warner Bros. Pictures",A veteran cop and an unstable detective become partners who must put their differences aside in order to bring down a heroin-smuggling ring run by ex-Special Forces.
2012,Rise of the Guardians,https://image.tmdb.org/t/p/w500/yfzmfWGjcmyugH6FZ13WcsUGiNj.jpg,"Action, Adventure, Animation, Family, Fantasy",7.38,7287,18.776,2012-11-21,97,306941670,Peter Ramsey,DreamWorks Animation,"When an evil spirit known as Pitch lays down the gauntlet to take over the world, the immortal Guardians must join forces for the first time to protect the hopes, beliefs and imagination of children all over the world."
2019,Shazam!,https://image.tmdb.org/t/p/w500/xnopI5Xtky18MPhK40cZAGAOVeV.jpg,"Action, Comedy, Fantasy",6.969,10433,16.931,2019-03-29,132,367799011,David F. Sandberg,"New Line Cinema, The Safran Company, Seven Bucks Productions",A boy is given the ability to become an adult superhero in times of need with a single magic word.
1990,Die Hard 2,https://image.tmdb.org/t/p/w500/ybki0UWO3OPhaM6MSniuKC7sy1R.jpg,"Action, Thriller",6.967,6586,14.7603,1990-07-03,124,240031094,Renny Harlin,"Gordon Company, Silver Pictures, 20th Century Fox","One year after his heroics in Los Angeles, John McClane is an off-duty cop who is the wrong guy in the wrong place at the wrong time. On a snowy Christmas Eve, as he waits for his wife's plane to land at Washington Dulles International Airport, terrorists take over the air traffic control system in a plot to free a South American army general and drug smuggler being flown into the US to face drug charges. It's now up to McClane to take on the terrorists, while coping with an inept airport police chief, an uncooperative anti-terrorist squad, and the life of his wife and everyone else trapped in planes circling overhead."
2003,Love Actually,https://image.tmdb.org/t/p/w500/7QPeVsr9rcFU9Gl90yg0gTOTpVv.jpg,"Comedy, Romance, Drama",7.1,7557,15.7186,2003-09-07,135,250779876,Richard Curtis,"Working Title, DNA Films, StudioCanal",Eight very different couples deal with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London.
2000,How the Grinch Stole Christmas,https://image.tmdb.org/t/p/w500/1WZbbPApEivA421gCOluuzMMKCk.jpg,"Family, Comedy, Fantasy",6.781,8447,18.9548,2000-11-17,105,345800000,Ron Howard,"Universal Pictures, Imagine Entertainment, LUNI Productions",The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...
2004,The Polar Express,https://image.tmdb.org/t/p/w500/eOoCzH0MqeGr2taUZO4SwG416PF.jpg,"Adventure, Animation, Family, Fantasy",6.726,7029,16.4851,2004-11-10,100,318432432,Robert Zemeckis,"Golden Mean, Playtone, ImageMovers","When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe."
1998,You've Got Mail,https://image.tmdb.org/t/p/w500/rJLUSpmdxSMqqEsyzeCni3vy1ca.jpg,"Comedy, Romance",6.71,3749,16.61,1998-12-18,119,250800000,Nora Ephron,"Warner Bros. Pictures, The Donners' Company",Book superstore magnate Joe Fox and independent book shop owner Kathleen Kelly fall in love in the anonymity of the Internet—both blissfully unaware that he's trying to put her out of business.
1984,Gremlins,https://image.tmdb.org/t/p/w500/6m0F7fsXjQvUbCZrPWcJNrjvIui.jpg,"Fantasy, Horror, Comedy",7.145,7148,15.0776,1984-06-08,106,153083102,Joe Dante,"Amblin Entertainment, Warner Bros. Pictures","After receiving an exotic small animal as a Christmas gift, a young man inadvertently breaks three important rules concerning his new pet, which unleashes a horde of malevolently mischievous creatures on a small town."
2022,Violent Night,https://image.tmdb.org/t/p/w500/e8CpMgdyihz9Td7amQDqubPuzfN.jpg,"Action, Comedy, Fantasy",7.211,2632,15.3824,2022-11-30,112,75734910,Tommy Wirkola,"87North Productions, Universal Pictures, Original Pictures","When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds, and he’s about to show why this Nick is no saint."
2023,The Holdovers,https://image.tmdb.org/t/p/w500/VHSzNBTwxV8vh7wylo7O9CLdac.jpg,"Drama, Comedy",7.645,2665,15.2575,2023-10-27,133,42513270,Alexander Payne,"Miramax, Gran Via Productions","A curmudgeonly instructor at a New England prep school is forced to remain on campus during Christmas break to babysit the handful of students with nowhere to go. Eventually, he forms an unlikely bond with one of them — a damaged, brainy troublemaker — and with the school’s head cook, who has just lost a son in Vietnam."
2018,The Grinch,https://image.tmdb.org/t/p/w500/Al7DMUp8bqUN4JwXVNxfJYyv5cH.jpg,"Animation, Comedy, Family, Fantasy",6.862,4521,16.6663,2018-11-08,85,552976825,Yarrow Cheney,"Illumination, Universal Pictures",The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration. But a certain little who might change things.
2009,A Christmas Carol,https://image.tmdb.org/t/p/w500/xNwlAIdx1Ln28GRiQttUP9Gojy2.jpg,"Animation, Drama, Family, Fantasy",6.911,4987,14.3813,2009-11-04,96,325286646,Robert Zemeckis,"Walt Disney Pictures, ImageMovers Digital","Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption."
2021,The Green Knight,https://image.tmdb.org/t/p/w500/if4hw3Ou5Sav9Em7WWHj66mnywp.jpg,"Adventure, Drama, Fantasy",6.589,2299,13.9105,2021-07-29,130,18887953,David Lowery,"A24, Bron Studios, Sailor Bear","An epic fantasy adventure based on the timeless Arthurian legend, The Green Knight tells the story of Sir Gawain, King Arthur's reckless and headstrong nephew, who embarks on a daring quest to confront the eponymous Green Knight, a gigantic emerald-skinned stranger and tester of men."
2025,Havoc,https://image.tmdb.org/t/p/w500/r46leE6PSzLR3pnVzaxx5Q30yUF.jpg,"Action, Crime, Thriller, Drama",6.407,1336,10.7343,2025-04-25,107,0,Gareth Evans,"XYZ Films, Severn Screen, One More One Productions","When a drug heist swerves lethally out of control, a jaded cop fights his way through a corrupt city's criminal underworld to save a politician's son."
2006,The Holiday,https://image.tmdb.org/t/p/w500/h1ITOpvJN3Tw4Sy60w2QTfYMvdd.jpg,"Comedy, Romance",7.1,5750,13.1736,2006-12-05,136,205233866,Nancy Meyers,"Relativity Media, Waverly Films, Universal Pictures","Two women, one American and one British, swap homes at Christmastime following bad breakups. Each woman finds romance with a local man but realizes that the imminent return home may end the relationship."
2012,The Hunt,https://image.tmdb.org/t/p/w500/jkixsXzRh28q3PCqFoWcf7unghT.jpg,Drama,8.097,4979,12.4472,2012-10-25,116,18300000,Thomas Vinterberg,"Zentropa International Sweden, Zentropa Entertainments, Film i Väst","A teacher lives a lonely life, all the while struggling over his son’s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
1997,Home Alone 3,https://image.tmdb.org/t/p/w500/6uOadrCfle0n2LOOxHbgWEdnrm2.jpg,"Comedy, Family",5.3,3366,14.5344,1997-12-12,102,79082515,Raja Gosnell,"20th Century Fox, Hughes Entertainment","9-year-old Alex Pruitt is home alone with the chicken pox. Turns out, due to a mix-up among nefarious spies, Alex was given a toy car concealing a top-secret microchip. Now Alex must fend off the spies as they try to break into his house to get it back."
2001,Serendipity,https://image.tmdb.org/t/p/w500/4jS66Qmq2Ru5S2YzHVknGd4xJyT.jpg,"Comedy, Romance",6.981,2210,13.1551,2001-10-05,90,77516304,Peter Chelsom,"Tapestry Films, Miramax, Simon Fields Productions","Although already in relationships, two strangers realize they have genuine chemistry after a chance encounter – but part company soon after. Years later, they each yearn to reunite, despite being destined for the altar. But to give true love a chance, they have to find one another again."
1983,Trading Places,https://image.tmdb.org/t/p/w500/8mBuLCOcpWnmYtZc4aqtvDXslv6.jpg,Comedy,7.232,3767,12.1549,1983-06-07,116,90404800,John Landis,"Cinema Group Ventures, Paramount Pictures",A snobbish investor and a wily street con-artist find their positions reversed as part of a bet by two callous millionaires.
2025,Oh. What. Fun.,https://image.tmdb.org/t/p/w500/qynCyBKCJUUcj4wo4PE2aQVvote.jpg,Comedy,5.645,262,11.6128,2025-12-03,108,0,Michael Showalter,"Semi-Formal Productions, Tribeca Productions, Amazon MGM Studios","Claire Clauster is the glue that holds her chaotic, lovable family together at the holidays. But this year, after planning a special outing for them, they make a crucial mistake and leave her home alone. Fed up and feeling under appreciated, she sets off on an impromptu adventure of her own. As her family scrambles to find her, Claire discovers the unexpected magic of a Christmas gone off-script."
2008,In Bruges,https://image.tmdb.org/t/p/w500/vz3Vd6nfq9YZrVvyYx5RHFaYKV3.jpg,"Comedy, Drama, Crime",7.496,5967,10.8017,2008-02-08,108,34533783,Martin McDonagh,"Twins Financing, Blueprint Pictures, Focus Features","Ray and Ken, two hit men, are in Bruges, Belgium, waiting for their next mission. While they are there they have time to think and discuss their previous assignment. When the mission is revealed to Ken, it is not what he expected."
2003,Elf,https://image.tmdb.org/t/p/w500/oOleziEempUPu96jkGs0Pj6tKxj.jpg,"Comedy, Family, Fantasy",6.669,4680,11.4402,2003-11-07,97,228500000,Jon Favreau,"New Line Cinema, Guy Walks into a Bar Productions","When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic."
1985,Rocky IV,https://image.tmdb.org/t/p/w500/2MHUit4H6OK5adcOjnCN6suCKOl.jpg,"Drama, Action",7.093,4965,11.8834,1985-11-21,91,300473716,Sylvester Stallone,"United Artists, Chartoff Productions, Winkler Films","Rocky Balboa holds the world heavyweight championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union. This time, Rocky's training regimen takes him to Siberia, where he prepares for a globally televised match in the heart of Moscow. But nothing can truly prepare him for what he's about to face – a fight to the finish, in which he must defend not only himself, but also the honor of his country!"
1993,Sleepless in Seattle,https://image.tmdb.org/t/p/w500/jAXfku1u1uaLGh4cUmK0ESf1pPu.jpg,"Comedy, Drama, Romance",6.743,2687,12.1847,1993-06-24,105,227799884,Nora Ephron,TriStar Pictures,"After the death of his mother, a young boy calls a radio station in an attempt to set his father up on a date. Across the country, an engaged woman becomes convinced that they belong together, despite their never having met. Will their paths collide despite the odds?"
2021,Home Sweet Home Alone,https://image.tmdb.org/t/p/w500/fP3VvqUjEBjawxZHL4sYCq2ZdJD.jpg,"Family, Comedy",4.82,718,13.1031,2021-11-11,93,0,Dan Mazer,"20th Century Studios, Hutch Parker Entertainment","After being left at home by himself for the holidays, 10-year-old Max Mercer must work to defend his home from a married couple who tries to steal back a valuable heirloom."
1996,Jingle All the Way,https://image.tmdb.org/t/p/w500/lHLOUt0ZIQLC5asHdIQBoTUvaEp.jpg,"Family, Adventure, Comedy",6.067,3033,10.8749,1996-11-21,89,129832389,Brian Levant,"1492 Pictures, 20th Century Fox, Fox Family Films","Howard Langston, a salesman for a mattress company, is constantly kept busy at his job, disappointing his son. After he misses his son's karate exposition, Howard vows to make it up to him by buying an action figure of his son's favorite television hero for Christmas. Unfortunately for Howard, it is Christmas Eve, and every store is sold out of Turbo Man. Now, Howard must travel all over town and compete with everybody else to find a Turbo Man action figure."
2025,Prep & Landing: The Snowball Protocol,https://image.tmdb.org/t/p/w500/olbxBEAGaYCgyi2EEecuwa5tuUl.jpg,"Animation, Comedy, Fantasy, Family",6.803,38,10.5054,2025-11-27,22,0,Shane Zalvin,"ICON Creative Studio, Disney Television Animation","Christmas elves Lanny and Wayne panic when their holiday missions go awry, leaving Wayne thinking he's in BIG trouble with Santa and accidentally revealing other merry mishaps."
2022,The Guardians of the Galaxy Holiday Special,https://image.tmdb.org/t/p/w500/8dqXyslZ2hv49Oiob9UjlGSHSTR.jpg,"Comedy, Science Fiction, Adventure",7.085,2475,11.8834,2022-11-24,45,0,James Gunn,"Marvel Studios, Kevin Feige Productions, Troll Court Entertainment","On a mission to make Christmas unforgettable for Quill, the Guardians head to Earth in search of the perfect present."
2002,Home Alone 4,https://image.tmdb.org/t/p/w500/qRktvMOO2QaCL7gvNyvZDoxPOZj.jpg,"Comedy, Family, TV Movie",4.5,1410,9.8135,2002-11-03,84,0,Rod Daniel,Fox Television Studios,"Kevin McCallister's parents have split up. Now living with his mom, he decides to spend Christmas with his dad at the mansion of his father's rich girlfriend, Natalie. Meanwhile robber Marv Merchants, one of the villains from the first two movies, partners up with a new criminal named Vera to hit Natalie's mansion."
2017,Daddy's Home 2,https://image.tmdb.org/t/p/w500/rF2IoKL0IFmumEXQFUuB8LajTYP.jpg,Comedy,6.309,2790,10.1636,2017-11-09,100,180613180,Sean Anders,"Red Granite Pictures, Gary Sanchez Productions, Paramount Pictures","Father and stepfather Dusty and Brad join forces to make Christmastime perfect for the children. Their newfound partnership soon gets put to the test when Dusty's old-school, macho dad and Brad's gentle father arrive to turn the holiday upside down. After a sudden change in plans, the four men decide to take the kids to a luxury resort for a fun-filled getaway that turns into a hilarious and chaotic adventure."
2024,Small Things Like These,https://image.tmdb.org/t/p/w500/rdcO38cbWFg002nXg5QYtk7Tz4L.jpg,Drama,6.7,600,9.6387,2024-11-01,99,12534032,Tim Mielants,"Artists Equity, Big Things Films, Wilder Content","In 1985, while working as a coal merchant to support his family, Bill Furlong discovers disturbing secrets kept by the local convent and uncovers truths of his own; forcing him to confront his past and the complicit silence of a small Irish town controlled by the Catholic Church."
2025,Diary of a Wimpy Kid: The Last Straw,https://image.tmdb.org/t/p/w500/emcCjpC289NxAGuVwlItHCTrgT7.jpg,"Animation, Family, Comedy",6.696,46,9.5316,2025-12-04,78,0,Matt Danner,"Walt Disney Pictures, Bardel Entertainment","When laidback Greg finds himself at odds with his dad's outsized expectations, pressure builds to turn his act around. After a series of hilarious near disasters, Greg's dad presents him with an ultimatum that just might challenge his wimpy ways for good."
1994,Little Women,https://image.tmdb.org/t/p/w500/1ZzH1XMcKAe5NdrKL5MfcqZHHsZ.jpg,"Drama, Romance",7.269,1372,9.862,1994-12-21,115,94983123,Gillian Armstrong,"Di Novi Pictures, Columbia Pictures",Four sisters come of age in America in the aftermath of the Civil War.
2011,Arthur Christmas,https://image.tmdb.org/t/p/w500/brELZkSbkLrcCXJ0xt5hQUMXhut.jpg,"Drama, Animation, Family, Comedy",6.777,1673,10.0335,2011-11-10,97,151300000,Sarah Smith,"Columbia Pictures, Sony Pictures Animation, Aardman","For hundreds of years, the Claus family has delegated the title ""Santa"" to a chosen few of its members, which can be passed down upon retirement. Each Christmas, Santa and his vast army of highly trained elves produce gifts and distribute them around the world in a one-night high-tech operation. However, when one of 600 million children to receive a gift from Santa on Christmas Eve is missed, it is deemed ‘acceptable’ to all but one—Arthur Claus, the current Santa’s misfit son deemed ineligible for the title, who executes an unauthorised rookie mission to get the last present halfway around the globe before dawn on Christmas morning."
2000,The Family Man,https://image.tmdb.org/t/p/w500/9wToOVsKuf0XeKhlauzCa3D8Gui.jpg,"Comedy, Drama, Romance, Fantasy",6.83,2275,9.9616,2000-12-12,125,124700000,Brett Ratner,"Beacon Pictures, Saturn Films, Universal Pictures","Jack's lavish, fast-paced lifestyle changes one Christmas night when he stumbles into a grocery store holdup and disarms the gunman. The next morning he wakes up in bed lying next to Kate, his college sweetheart he left in order to pursue his career, and to the horrifying discovery that his former life no longer exists. As he stumbles through this alternate suburban universe, Jack finds himself at a crossroad where he must choose between his high-power career and the woman he loves."
2017,A Bad Moms Christmas,https://image.tmdb.org/t/p/w500/gPNHolu7AGnrB7r5kvJRRTfwMFR.jpg,Comedy,6.321,2236,8.7123,2017-08-04,104,130560428,Scott Moore,"STXfilms, Robert Simonds Productions, Suzanne Todd Productions","Amy, Kiki and Carla – three under-appreciated and over-burdened women – rebel against the challenges and expectations of the Super Bowl for mothers: Christmas. And if creating a more perfect holiday for their families wasn’t hard enough, they have to do all of that while hosting and entertaining their own mothers."
2006,Last Holiday,https://image.tmdb.org/t/p/w500/2SkM1AHIgCQgdOboER6euPKTxGF.jpg,"Adventure, Comedy, Drama",7.3,907,8.7911,2006-01-13,112,38399961,Wayne Wang,"Paramount Pictures, ImageMovers, Laurence Mark Productions","The discovery that she has a terminal illness prompts introverted department store saleswoman Georgia Byrd to reflect on what she realizes has been an overly cautious life. With weeks to live, she withdraws her life savings, sells all her possessions and jets off to Europe where she lives it up at a posh hotel. Upbeat and passionate, Georgia charms everybody she meets, including renowned Chef Didier. The only one missing from her new life is her longtime crush Sean Williams."
2023,All of Us Strangers,https://image.tmdb.org/t/p/w500/aviJMFZSnnCAsCVyJGaPNx4Ef3i.jpg,"Romance, Drama, Fantasy",7.394,1087,10.0269,2023-12-22,105,14864960,Andrew Haigh,"Film4 Productions, Blueprint Pictures, Searchlight Pictures","One night in his near-empty tower block in contemporary London, Adam has a chance encounter with a mysterious neighbor, which punctures the rhythm of his everyday life."
1989,National Lampoon's Christmas Vacation,https://image.tmdb.org/t/p/w500/oat42hUw8XzKYUmfy0YLAxYd484.jpg,Comedy,7.234,2791,9.5046,1989-11-30,97,74542088,Jeremiah S. Chechik,"Hughes Entertainment, Warner Bros. Pictures","It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon."
2005,Just Friends,https://image.tmdb.org/t/p/w500/lh2EUTVOcESkdEOcsjYEW6qS1U0.jpg,"Comedy, Romance",6.208,1846,8.0473,2005-11-23,94,50817508,Roger Kumble,"BenderSpink, Cinezeta, Cinerenta","While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with – a woman whose rejection of him turned him into a ferocious womanizer."
2026,Jumanji: Open World,https://image.tmdb.org/t/p/w500/qv0X60rC2SUWVvOkbgixpRoOSoq.jpg,"Adventure, Comedy, Fantasy",0.0,0,8.2291,2026-12-23,0,0,Jake Kasdan,"Matt Tolmach Productions, Seven Bucks Productions, Columbia Pictures","Our heroes have escaped the ever-changing jungles of Jumanji before, but this time the game comes to us - as Jumanji breaks free of its console, unleashing its chaos into our world."
2019,Klaus,https://image.tmdb.org/t/p/w500/q125RHUDgR4gjwh1QkfYuJLYkL.jpg,"Animation, Family, Comedy",8.217,4822,8.0618,2019-11-08,97,0,Sergio Pablos,"Atresmedia, The SPA Studios","A selfish postman and a reclusive toymaker form an unlikely friendship, delivering joy to a cold, dark town that desperately needs it."
2021,8-Bit Christmas,https://image.tmdb.org/t/p/w500/5YwaISdOwp8Zu6O7kwBeUn8a7Pu.jpg,"Family, Comedy",6.4,515,9.3574,2021-11-24,98,0,Michael Dowse,"Star Thrower Entertainment, New Line Cinema","In suburban Chicago during the late 1980s, ten-year-old Jake Doyle embarks on a herculean quest to get the latest and greatest video game system for Christmas."
2007,Shrek the Halls,https://image.tmdb.org/t/p/w500/zeqUbXA0JPSlyAHdRTgxoYgK24n.jpg,"Adventure, Animation, Comedy, Fantasy, Family",6.383,938,8.9416,2007-11-28,28,0,Gary Trousdale,"DreamWorks Animation, Pacific Data Images","The Christmas tree isn't the only thing green in this new holiday classic. Shrek is back and trying to get into the spirit of the season. After promising Fiona and the kids a Christmas they'll remember, he is forced to take a crash course in the holiday. But just when he thinks he has everything for their quiet family Christmas just right, there is a knock at the door."
